id,name,address,date,status,link
67,"PRECISION TOOLS & DIES ENGINEERING","Ubi Road 1, 408701",2008-09-10,Registered,https://opencorpdata.com/sg/52828956W
68,"KIAN WAI ELECTRICAL & ENGINEERING CO","Yishun Street 23, 768441",2008-09-09,Registered,https://opencorpdata.com/sg/25442100L
69,"SUBSEA ENGINEERING & ROV SERVICES PTE. LTD.","Collyer Quay, 049317",2011-02-25,Registered,https://opencorpdata.com/sg/201104518E
70,"SKY METAL & ENGINEERING","Woodlands Industrial Park E1, 757743",2013-03-07,Registered,https://opencorpdata.com/sg/53232355J
71,"TSN ENGINEERING PTE. LTD.","Woodlands Drive 50, 734889",2008-09-13,Registered,https://opencorpdata.com/sg/200708141K
72,"LIAN YIEW SENG ENGINEERING WORKS","Ang Mo Kio Industrial Park 2, 569542",2008-09-09,Registered,https://opencorpdata.com/sg/09507300X
73,"BRIGHTANNA HARDWARE & ENGINEERING PTE. LTD.","Aljunied Road, 389842",2008-09-09,Registered,https://opencorpdata.com/sg/198501543H
74,"HENGYI ENGINEERING PTE. LTD.","New Upper Changi Road, 460028",2009-08-05,Registered,https://opencorpdata.com/sg/200914239Z
75,"SINGAPORE MEGA ENGINEERING AND SUPPLY PTE. LTD.","Cecil Street, 069534",2013-09-06,Registered,https://opencorpdata.com/sg/201324099H
76,"HOCK CHING ENGINEERING","Phoenix Road, 668162",2008-09-12,Registered,https://opencorpdata.com/sg/52948607E
77,"INTEGRATED ENGINEERING SOLUTIONS","Ubi Road 3, 408653",2008-09-12,Registered,https://opencorpdata.com/sg/52995413C
78,"TRADEWIN ENGINEERING PTE. LTD.","Harrison Road, 369648",2008-09-11,Registered,https://opencorpdata.com/sg/199702455W
79,"PENGEST INTERNATIONAL-PLANNING ENGINEERING AND MANAGEMENT PTE. LTD.","Anson Road, 079903",2016-06-28,Registered,https://opencorpdata.com/sg/201617654M
80,"CCE ENGINEERING SERVICES PTE. LTD.","Mandai Estate, 729908",2014-03-06,Registered,https://opencorpdata.com/sg/201406221C
81,"BROAD RESOURCES ENGINEERING & SERVICE","Jalan Teck Whye, 680150",2008-09-13,Registered,https://opencorpdata.com/sg/53120700E
82,"Y P NG & ASSOCIATE ENGINEERS","Jalan Songket, 537438",2008-09-10,Registered,https://opencorpdata.com/sg/35215000M
83,"HHT SYSTEMS ENGINEERING","Tampines Street 93, 528837",2008-09-11,Registered,https://opencorpdata.com/sg/52912443B
84,"MOK ELECTRICAL ENGINEERING PTE LTD","Bukit Batok Crescent, 658064",2008-09-10,Registered,https://opencorpdata.com/sg/199407418K
85,"HAI YONG ENGINEERING PTE LTD","Tagore Lane, 787486",2008-09-10,Registered,https://opencorpdata.com/sg/198800456N
86,"ENG LEE ENGINEERING PTE LTD","Kian Teck Crescent, 628879",2008-09-10,Registered,https://opencorpdata.com/sg/198904035H
87,"PARTNERSHIP AIR-CON ENGINEERING PTE. LTD.","Ang Mo Kio Industrial Park 2a, 568049",2013-11-20,Registered,https://opencorpdata.com/sg/201331273R
88,"CITY ENGINEERING SERVICES PTE. LTD.","Ubi Avenue 3, 408868",2014-09-09,Registered,https://opencorpdata.com/sg/201426580G
89,"ADG ENGINEERS SOUTH ASIA PTE. LTD.","Cecil Street, 069538",2013-06-18,Registered,https://opencorpdata.com/sg/201316338Z
90,"ABC ENGINEERING SERVICES PTE. LTD.","Jurong West Street 81, 640852",2017-02-08,Registered,https://opencorpdata.com/sg/201703538R
91,"A-MAC ENGINEERING SERVICES","Yung Sheng Road, 610183",2008-09-11,Registered,https://opencorpdata.com/sg/52863399J
92,"WARAN&WARAN TRANSPORT&ENGINEERING PTE. LTD.","Mayo Street, 208315",2015-10-24,Registered,https://opencorpdata.com/sg/201538601E
93,"KUP ELECTRICAL ENGINEERING SERVICES","Hougang Street 51, 530556",2008-09-13,Registered,https://opencorpdata.com/sg/53043733C
94,"CORUWELD ENGINEERING SERVICES PTE LTD","Lavender Street, 338794",2008-09-09,Registered,https://opencorpdata.com/sg/198105297D
95,"HUI SHENG ELECTRICAL ENGINEERING","Clementi West Street 2, 120705",2008-09-10,Registered,https://opencorpdata.com/sg/45200500X
96,"TY ENGINEERING SOLUTIONS PTE. LTD.","Soon Lee Street, 627606",2014-03-22,Registered,https://opencorpdata.com/sg/201408209R
97,"UDAYAM ENGINEERING PTE. LTD.","Short Street, 188216",2016-07-15,Registered,https://opencorpdata.com/sg/201619475M
98,"J.A.G. MARINE ENGINEERING LLP","Anson Road, 079903",2008-09-13,Registered,https://opencorpdata.com/sg/T06LL1029B
99,"COGAN ENGINEERING CONSULTANCY","Jurong East Street 21, 609601",2008-09-09,Registered,https://opencorpdata.com/sg/31973000W
100,"CCTS ENGINEERING SERVICES PTE LTD","Beach Road, 199588",2008-09-12,Registered,https://opencorpdata.com/sg/200006967Z
101,"ACMECON ENGINEERS","Cuscaden Road, 249720",2008-09-13,Registered,https://opencorpdata.com/sg/53043805D
102,"KOK KIAT ENGINEERING & TRADING","Tuas South Street 12, 637090",2008-09-10,Registered,https://opencorpdata.com/sg/52805430M
103,"SPECTRUM ENGINEERING AND DESIGN PTE. LTD.","Bukit Batok Crescent, 658065",2008-09-13,Registered,https://opencorpdata.com/sg/200514409R
104,"SHAWN ENGINEERING & CONSTRUCTION PTE. LTD.","Woodlands Sector 1, 738068",2013-07-12,Registered,https://opencorpdata.com/sg/201318848W
105,"SUMMIT ENGINEERING & FABRICATION PTE. LTD.","Anson Road, 079903",2014-02-21,Registered,https://opencorpdata.com/sg/201404808G
106,"E. L. G. ENGINEERING ENTERPRISE","Choa Chu Kang Avenue 4, 680461",2015-01-07,Registered,https://opencorpdata.com/sg/53287390D
107,"A&A TECHNO-ENGINEERING & SERVICES PTE LTD","Alexandra Road, 159919",2008-09-10,Registered,https://opencorpdata.com/sg/199002572Z
108,"BOON HAI MARINE ENGINEERING PTE. LTD.","Choa Chu Kang Avenue 3, 689865",2009-02-07,Registered,https://opencorpdata.com/sg/200902159Z
109,"WAN JI WEI ENGINEERING PTE. LTD.","Kaki Bukit Road 1, 415939",2011-07-16,Registered,https://opencorpdata.com/sg/201116870H
110,"QI TECH ENGINEERING","Bedok North Avenue 4, 489947",2009-10-19,Registered,https://opencorpdata.com/sg/53154060W
111,"HARNICAL ENGINEERING PTE LTD","Pine Grove, 592001",2008-09-11,Registered,https://opencorpdata.com/sg/199704678W
112,"KWONG NGEE ENGINEERING PTE LTD","Kaki Bukit Avenue 1, 416070",2008-09-10,Registered,https://opencorpdata.com/sg/199004317C
113,"CHODAI & BURO ENGINEERING PTE. LTD.","Sin Ming Lane, 573972",2008-09-10,Registered,https://opencorpdata.com/sg/198901899R
114,"A.E.ENGINEERS(S) PTE. LTD.","Upper Dickson Road, 207499",2015-05-05,Registered,https://opencorpdata.com/sg/201511831C
115,"WCS ENGINEERING CONSTRUCTION PTE. LTD.","Paya Lebar Road, 409051",2010-07-31,Registered,https://opencorpdata.com/sg/201016157N
116,"GOODWILL ENGINEERING & INSPECTION PTE. LTD.","Cecil Street, 069533",2013-02-15,Registered,https://opencorpdata.com/sg/201304103G
117,"CGV ENGINEERING PTE. LTD.","Anson Road, 079903",2009-09-23,Registered,https://opencorpdata.com/sg/200917629N
118,"T SQUARE ENGINEERING","Hougang Street 91, 530976",2008-09-12,Registered,https://opencorpdata.com/sg/52982896X
119,"SKY AIR UNITED ENGINEERING","Ang Mo Kio Industrial Park 2, 569534",2008-09-12,Registered,https://opencorpdata.com/sg/52979436E
120,"STERN ENGINEERING & TRADING","Yio Chu Kang Road, 787079",2008-09-10,Registered,https://opencorpdata.com/sg/47954700M
121,"HOCK HIN RENOVATION & AIR CON ENGINEERING","Toa Payoh Industrial Park, 319074",2014-12-24,Registered,https://opencorpdata.com/sg/53286195K
122,"VISUAL ENGINEERING PTE. LTD.","Bedok North Street 5, 486132",2008-09-13,Registered,https://opencorpdata.com/sg/200516300R
123,"LCH ELECTRICAL & ENGINEERING WORKS","Sims Avenue, 387512",2015-02-03,Registered,https://opencorpdata.com/sg/53289114K
124,"JHV PRECISION ENGINEERING","Tuas View Place, 637433",2011-01-12,Registered,https://opencorpdata.com/sg/53183232E
125,"ADVANCED SOLUTIONS ENGINEERING PTE. LTD.","Bedok North Street 5, 486132",2008-09-13,Registered,https://opencorpdata.com/sg/200503660H
126,"SHARP ENGINEERING PTE. LTD.","Sims Drive, 387384",2014-05-28,Registered,https://opencorpdata.com/sg/201415212C
127,"WT ENGINEERING PTE. LTD.","Brooke Road, 429979",2012-02-03,Registered,https://opencorpdata.com/sg/201202565G
