id,name,address,date,status,link
20521,Design & Technology Educators Society,"North Buona Vista Drive, 138675",8/28/2008,Registered,https://opencorpdata.com/sg/S64SS0033A
21311,NUS Society of Mechanical Engineering,"Kent Ridge Crescent, 119260",8/28/2008,Registered,https://opencorpdata.com/sg/S94SS0038A
21379,"American Society of Mechanical Engineers, Singapore Section, The","Dover Road, 139658",8/28/2008,Registered,https://opencorpdata.com/sg/S91SS0022E
23116,Society for Rock Mechanics & Engineering Geology (Singapore),,8/28/2008,Registered,https://opencorpdata.com/sg/T06SS0212F
24187,"Institute of Industrial Engineers, Singapore","Cashew Road, 679668",8/28/2008,Registered,https://opencorpdata.com/sg/S78SS0041D
24302,INFORMATION TECHNOLOGY MANAGEMENT ASSOCIATION (SINGAPORE),,8/28/2008,Registered,https://opencorpdata.com/sg/S80SS0034E
24494,Nanyang Technology University Ice Skating Club,"Nanyang Avenue N.t.u, Student Af, 639798",8/28/2008,Registered,https://opencorpdata.com/sg/S97SS0090A
24621,"Indian Institutes of Technology Alumni Association, The","Lorong Chuan, 556745",8/28/2008,Registered,https://opencorpdata.com/sg/S95SS0011B
39,BAN KIM ELECTRICAL ENGINEERING CO,"Duku Road, 429205",9/9/2008,Registered,https://opencorpdata.com/sg/30298100D
40,NGEE KWONG ENGINEERING PTE LTD,"Owen Road, 218938",9/9/2008,Registered,https://opencorpdata.com/sg/197900355G
43,HUP HUAT ENGINEERING WORKS COMPANY,"Beach Road, 199589",9/9/2008,Registered,https://opencorpdata.com/sg/07377200C
52,KIAN WAI ELECTRICAL & ENGINEERING CO,"Yishun Street 23, 768441",9/9/2008,Registered,https://opencorpdata.com/sg/25442100L
56,LIAN YIEW SENG ENGINEERING WORKS,"Ang Mo Kio Industrial Park 2, 569542",9/9/2008,Registered,https://opencorpdata.com/sg/09507300X
75,CORUWELD ENGINEERING SERVICES PTE LTD,"Lavender Street, 338794",9/9/2008,Registered,https://opencorpdata.com/sg/198105297D
81,COGAN ENGINEERING CONSULTANCY,"Jurong East Street 21, 609601",9/9/2008,Registered,https://opencorpdata.com/sg/31973000W
148,LIAN HUAH ENGINEERING PTE LTD,"Jalan Pemimpin, 577184",9/9/2008,Registered,https://opencorpdata.com/sg/198201105K
159,CRC ENGINEERING PTE. LTD.,"Pandan Crescent, 128471",9/9/2008,Registered,https://opencorpdata.com/sg/197300163G
160,SOON FATT ENGINEERING PTE LTD,"Ubi Road 3, 408655",9/9/2008,Registered,https://opencorpdata.com/sg/198403075E
174,PHUA SOON PHENG ENGINEERING SURVEY,"Bayshore Road, 469977",9/9/2008,Registered,https://opencorpdata.com/sg/31661700L
232,EDER ENGINEERING WORK,"Yishun Street 23, 768441",9/9/2008,Registered,https://opencorpdata.com/sg/23892500E
264,FINE SHEETMETAL TECHNOLOGIES PTE LTD,"Tuas Link 1, 638595",9/9/2008,Registered,https://opencorpdata.com/sg/198002745W
272,KENT MARINE ELECTRICAL & ENGINEERING CO. PTE. LTD.,"Bedok North Avenue 4, 489947",9/9/2008,Registered,https://opencorpdata.com/sg/198104893K
276,ZMC ENGINEERING PTE LTD,"Ubi Crescent, 408564",9/9/2008,Registered,https://opencorpdata.com/sg/198404357C
283,ABV TECHNOLOGY PTE LTD,"Changi South Avenue 2, 486444",9/9/2008,Registered,https://opencorpdata.com/sg/198400046H
310,AKL TECHNOLOGY ENGINEERING & SERVICES,"Yishun Industrial Street 1, 768160",9/9/2008,Registered,https://opencorpdata.com/sg/35295600C
386,AGGY ENGINEERING ENTERPRISES,"Toa Payoh Industrial Park, 319076",9/9/2008,Registered,https://opencorpdata.com/sg/32613900A
418,CHEE INSULATION & ENGINEERING PRIVATE LIMITED,"Ang Mo Kio Industrial Park 2a, 568050",9/9/2008,Registered,https://opencorpdata.com/sg/196600005D
420,SIN TECK ENGINEERING,"Telok Kurau Road, 423838",9/9/2008,Registered,https://opencorpdata.com/sg/33326400B
429,AURIC ENGINEERING,"Hougang Avenue 5, 530334",9/9/2008,Registered,https://opencorpdata.com/sg/29896000A
493,BOON CHANG ENGINEERING & CONSTRUCTION PTE. LTD.,"Upper Cross Street, 050531",9/9/2008,Registered,https://opencorpdata.com/sg/197800082E
520,O W ELECTRICAL ENGINEERING SERVICE PTE LTD,"Pioneer Road North, 628467",9/9/2008,Registered,https://opencorpdata.com/sg/198102316R
525,EVEREADY MARINE ENGINEERING CO,"Eunos Avenue 8, 409498",9/9/2008,Registered,https://opencorpdata.com/sg/09639700D
531,FLEXMECH ENGINEERING PTE LTD,"Tuas Road, 638514",9/9/2008,Registered,https://opencorpdata.com/sg/198501674M
539,JOIN MOTOR & ENGINEERING WORKS,"Kaki Bukit Avenue 6, 417883",9/9/2008,Registered,https://opencorpdata.com/sg/25522000J
556,EXPRESS ENGINEERING PTE LTD,"Anson Road, 079903",9/9/2008,Registered,https://opencorpdata.com/sg/198201962K
609,ROYAL INSTITUTE OF INFOCOMM ENGINEERS PTE. LTD.,"Tanglin Road, 247940",9/9/2008,Registered,https://opencorpdata.com/sg/198205110N
636,SJP ENGINEERING PTE LTD,"Ubi Road 1, 408709",9/9/2008,Registered,https://opencorpdata.com/sg/198105029G
